Sample_ID,Huntingtons_Disease,IGF2BP3,YTHDC1,PPP1CC,YTHDF2,CEBPD,YTHDF3,FTO,CEBPB,YTHDC2,YTHDF1
GSM1424190,0,0.02800091,0.039041400000000004,-0.0159981,0.005132448,-0.7260044,0.003080585000000002,0.02516191,-0.3216243,0.007984357,-0.1385165
GSM1424191,0,0.1954592,-0.014340674999999999,-0.1139737,-0.03163354,-0.2603097,-0.0020778249999999984,0.07904705,-0.1763754,-0.05757357,-0.1570034
GSM1424192,0,-0.000680598,0.088014725,-0.005462311,0.04044668,-0.7052888,0.07939826,0.08153562,-0.3045883,0.08347964,-0.1473984
GSM1424193,0,0.06198461,0.005447295000000001,-0.03130801,0.01497827,-0.5623795,0.03710045,0.006914375,-0.2417072,0.07769249,-0.09639437
GSM1424194,0,0.07542107,0.083632975,0.01698505,0.04440438,-0.4122683,0.035092175,0.02063955,-0.2930875,-0.01384396,-0.07888301
GSM1424195,0,0.0314262,0.085347075,-0.00468404,-0.00958893,0.1311922,0.025508672,0.06428108,0.1026594,-0.008974559,0.06819084
GSM1424196,0,0.06063182,-0.008140254999999999,-0.06224254,0.05287543,0.01230633,-0.04294538,0.1048585,-0.1195538,0.05019443,-0.09015916
GSM1424197,0,0.02741042,-0.06652097,-0.01644897,0.08789767,-0.2562931,0.0044447975,0.0899366,-0.1223897,0.05001586,-0.1263414
GSM1424198,0,-0.04553299,0.05235153,-0.01534564,-0.1376772,0.4079864,-0.027763589999999998,-0.01037942,0.3240757,-0.1311757,0.1977188
GSM1424199,0,0.04870401,-0.08053148,-0.04566342,0.07784852,-0.4097072,0.05167107,0.07292828,-0.1616239,0.03603128,-0.1209602
GSM1424200,0,-0.01508549,0.04291958,-0.03565483,-0.01591459,-0.2078849,0.05146879,0.02131504,-0.1615513,0.003995207,-0.06091286
GSM1424201,0,0.0352998,-0.011800732,-0.0705965,0.04213542,-0.4252338,0.0040266003000000005,0.06602172,-0.1909626,0.04752665,-0.05255676
GSM1424202,0,0.02765242,-0.09837202,-0.250556,-0.094586,-0.5241037,0.003280375000000002,0.1332057,-0.1555885,-0.1245674,-0.01951859
GSM1424203,0,-0.07270437,-0.11088232,-0.19743,-0.1801876,-0.4076811,-0.040260239999999996,0.1024326,-0.1171079,-0.08720884,-0.08535964
GSM1424204,0,0.0002321301,-0.056763745000000004,-0.07025919,0.005700505,-0.3657532,0.0161214265,0.1008339,-0.1311423,0.04898975,-0.0913471
GSM1424205,0,0.02846195,-0.006615341499999999,-0.005957852,0.0468503,-0.3636853,0.040863535,0.09248623,-0.1507524,0.08800179,-0.05501872
GSM1424206,0,0.0863894,0.0033123649999999994,-0.07436183,0.05962804,-0.6013433,-0.0016530450000000006,0.06840361,-0.1817521,0.03490106,-0.05394168
